segment_id,category,text,subjects,objects,passive_subjects,oblique_agents,active_verbs,passive_verbs,transitive_verbs,intransitive_verbs,agent_count,patient_count,passive_count
463,Conqueror,Il maggiore passò con studiata lentezza davanti alla porta spalancata.,['maggiore'],['lentezza'],[],[],['passare'],[],[],['passare'],1,1,0
464,Conqueror,"Era forse tentato di entrare, ma proseguì facendo finta di non averci visto e pensai che sotto la su",['libidina'],['finta'],[],[],['covare'],[],[],['covare'],1,1,0
465,Conqueror,"Si era fermato poco distante e stette a lungo incerto se entrare o no, prima di andarsene.",[],[],[],[],[],[],[],[],0,0,0
466,Conqueror,"Forse il mio giovane amico non sapeva tacere, apprezzava il silenzio soltanto per il valore delle pa",['amico'],['silenzio'],[],[],['sapere'],[],[],['sapere'],1,1,0
467,Conqueror,"E finse di guardare la pagina, veramente arrabbiato.",[],['pagina'],[],[],[],[],[],[],0,1,0
468,Conqueror,"Sentiva che la mia fuga rendeva inutile anche la sua resistenza, anche lui avrebbe dovuto rifare lo ","['fuga', 'lui']","['resistenza', 'zaino']",[],[],"['rendere', 'rifare']",[],"['rendere', 'rifare']",[],2,2,0
469,Conqueror,Anche loro dovevano andare verso il fiume e suppongo che anche loro fossero stati fermati dal calar ,"['loro', 'che', 'agguato']","['solitudine', 'li']",['loro'],['calar'],"['andare', 'attendere']",['fermare'],['attendere'],['andare'],3,3,1
470,Conqueror,"Mangiammo in silenzio, poiché il pensiero di riprendere la strada, il giorno dopo, li amareggiava.",['pensiero'],"['strada', 'li']",[],[],['amareggiare'],[],['amareggiare'],[],1,2,0
471,Conqueror,"Era inevitabile che il discorso cadesse sulle previsioni del ritorno, mi ci appassionai e i soldati ","['discorso', 'soldato']",['argomento'],[],[],"['cadere', 'stare']",[],[],"['cadere', 'stare']",2,1,0
472,Conqueror,Non volevano e non potevano contraddirmi,[],['mi'],[],[],[],[],[],[],0,1,0
473,Conqueror,"Sempre elegante, le mani dietro il dorso, gli stivali che brillavano ai riflessi del nostro fuoco.","['mano', 'che']",[],[],[],['brillare'],[],[],['brillare'],2,0,0
474,Conqueror,"La sua eleganza ne risaltava, ma accresceva anche il sospetto di un legame preciso tra il grosso ane","['eleganza', 'che', 'che']","['sospetto', 'peso']",[],[],"['risaltare', 'portare', 'sprigionare']",[],[],"['risaltare', 'portare', 'sprigionare']",3,2,0
475,Conqueror,"Mi chiese se ero ammogliato e, quando gli ebbi risposto, parve soddisfatto: questo era un punto a su",['questo'],[],[],[],[],[],[],[],1,0,0
476,Conqueror,"Nel tono della voce scoprii il rimpianto di quel matrimonio fatto in fretta, per ragioni che forse a",['che'],['rimpianto'],[],[],['dimenticare'],[],[],['dimenticare'],1,1,0
477,Conqueror,"Bevve lui un lungo sorso, per infondersi un po ’ di coraggio, per infonderne a me, altrimenti non av",['lui'],"['sorso', 'poco']",[],[],['bere'],[],['bere'],[],1,2,0
478,Conqueror,"Non avrebbe resistito alle ombre che la lampada creava negli angoli della stanza, e che avevo diment","['lampada', 'che']",['che'],[],[],"['creare', 'dimenticare']",[],['creare'],['dimenticare'],2,1,0
479,Conqueror,Bisognava bere.,[],[],[],[],[],[],[],[],0,0,0
480,Conqueror,"E il maggiore ne approfittava per gettarlesi addosso, ormai convinto che non l ’ avrei giudicato.",['maggiore'],['lo'],[],[],['approfittare'],[],[],['approfittare'],1,1,0
481,Conqueror,"Nel buio improvviso sentii che tornava a tentoni verso il suo letto, cercando di ridere, cercando di",['che'],['suono'],[],[],['venire'],[],[],['venire'],1,1,0
482,Conqueror,"Il mio sguardo dovette tradire lo sgomento, ma il soldato vi lesse l ’ improvvisa felicità per quell","['sguardo', 'soldato', 'che', 'che', 'costa']","['sgomento', 'felicità', 'tappa']",[],[],"['tradire', 'leggere', 'dare', 'significare']",[],"['tradire', 'leggere', 'significare']",['dare'],5,3,0
483,Conqueror,Quello spostamento aveva riacceso le speranze dei più pessimisti e ora tutti si incoraggiavano con g,"['spostamento', 'tutto', 'che']",['speranza'],[],[],"['riaccidere', 'incoraggiare', 'rimbalzare']",[],['riaccidere'],"['incoraggiare', 'rimbalzare']",3,1,0
484,Conqueror,Ogni soldato sapeva almeno i segreti di un altro ed era quella una magnifica occasione per accennarv,"['soldato', 'occasione']","['segreto', 'gioia']",[],[],['sapere'],[],['sapere'],[],2,2,0
485,Conqueror,"Si sarebbero rivisti tutti, una volta in Italia, e l ’ amicizia nata sotto la tenda avrebbe tinto di","['tutto', 'amicizia']",['ricordo'],[],[],"['rivedere', 'tingere']",[],['tingere'],['rivedere'],2,1,0
486,Conqueror,"E ognuno meditava un futuro ritardo, quando sarebbe stato il proprio turno.",['ognuno'],['ritardo'],[],[],['meditare'],[],['meditare'],[],1,1,0
487,Conqueror,Il mio precedente infrangeva gloriosamente la regola.,['precedente'],['regola'],[],[],['infrangere'],[],['infrangere'],[],1,1,0
488,Conqueror,Voleva significare che il capitano non faceva affidamento su di me e si rivolgeva anche al sergente ,['capitano'],"['affidamento', 'ordine']",[],[],['fare'],[],['fare'],[],1,2,0
489,Conqueror,Il sergente si sarebbe fatto uccidere piuttosto che rinunciare a quella che lui considerava un ’ azi,"['sergente', 'lui', 'capitano']","['che', 'lo']",[],[],"['fare', 'considerare', 'onorare']",[],"['considerare', 'onorare']",['fare'],3,2,0
490,Conqueror,"Avrei potuto dirgli: « Io non vengo »; sarebbe stato felice di comandare il plotone, avrebbe fatto m","['io', 'cosa']","['plotone', 'miracolo']",[],[],"['venire', 'risapotare']",[],[],"['venire', 'risapotare']",2,2,0
491,Conqueror,"E i soldati tacquero a malincuore, perché il soldato protesta cantando e si solleva così di tutte le","['soldato', 'soldato']",[],[],[],"['tacquare', 'protestare']",[],[],"['tacquare', 'protestare']",2,0,0
492,Conqueror,Il soldato al suo paese faceva il contrabbandiere e ora profittava di quest ’ occasione per giudicar,['soldato'],['contrabbandiere'],[],[],['fare'],[],['fare'],[],1,1,0
493,Conqueror,"Più volte ripeté la frase e intanto mi sbirciava, aspettando un aiuto, la parola definitiva, oppure ","['frase', 'dovere']","['aiuto', 'mi']",[],[],['ripetere'],[],[],['ripetere'],2,2,0
494,Conqueror,Era un curioso uomo il sergente: s ’ era modellato sul regolamento di disciplina e parlava ora citan,['sergente'],"['lettera', 'spirito']",['s'],[],[],['modellare'],[],[],1,3,1
495,Conqueror,"Si concedeva pochi aggettivi, quelli approvati dalla stampa e dalla consuetudine militare",[],['aggettivo'],[],['stampa'],[],[],[],[],0,1,0
496,Conqueror,"Il contrabbandiere, che avrebbe potuto superarmi e raggiungere il bimbo, mi seguiva invece indolente","['contrabbandiere', 'che']","['bimbo', 'lo']",[],[],"['seguire', 'superare']",[],[],"['superare', 'seguire']",2,2,0
497,Conqueror,"Riviveva forse qualche avventura simile, nella quale a lui era toccata la parte peggiore, quella di ",['avventura'],"['fiato', 'lo']","['parte', 'che']",[],['rivivere'],"['toccare', 'pagare']",[],['rivivere'],1,4,2
498,Conqueror,"Il contrabbandiere s ’ era messo discosto, seduto su un sasso, convinto che bisognava lasciare i mor",[],"['morto', 'morto']",['contrabbandiere'],[],[],['mettere'],[],[],0,3,1
499,Conqueror,Non capiva perché restassi là a offendere con la mia presenza quel vecchio.,[],['vecchio'],[],[],[],[],[],[],0,1,0
500,Conqueror,Mi giudicava certo uno sciocco o forse soltanto un ufficiale.,['sciocco'],[],[],[],['giudicare'],[],[],['giudicare'],1,0,0
501,Conqueror,Il contrabbandiere non s ’ annoiava.,['contrabbandiere'],[],[],[],['annoiare'],[],[],['annoiare'],1,0,0
502,Conqueror,"Stava arrotolandosi una sigaretta, ma non partecipava ai nostri discorsi, sapeva tutto, quella stori","['tutto', 'storia']",['sigaretta'],[],[],['sapere'],[],[],['sapere'],2,1,0
503,Conqueror,"Non amava gli indigeni, ma non amava nemmeno chi li uccideva.",['chi'],"['indigeno', 'li']",[],[],['amare'],[],[],['amare'],1,2,0
504,Conqueror,"Lui, costretto a girare sulle Alpi senza armi (se lo avessero preso con le armi sarebbe stata la fin",['lui'],"['lo', 'chi', 'opinione']",[],[],['imparare'],[],[],['imparare'],1,3,0
505,Conqueror,"Quegli indigeni erano più vicini a lui che a me, perciò non si sentiva obbligato a nessuna commedia.",['indigeno'],[],[],[],[],[],[],[],1,0,0
506,Conqueror,"I morti si guardano seppellire, inutile far domande al becchino.",['morto'],['domanda'],[],[],['guardare'],[],[],['guardare'],1,1,0
507,Conqueror,Perché quelle esclamazioni da passante ?,[],[],[],[],[],[],[],[],0,0,0
508,Conqueror,« Com ’ è successo ?,['Com'],[],[],[],['succedere'],[],[],['succedere'],1,0,0
509,Conqueror,"Racconti, buon uomo !",[],[],[],[],[],[],[],[],0,0,0
510,Conqueror,Mi dispiace ! »,[],[],[],[],[],[],[],[],0,0,0
511,Conqueror,"Questo pensava il contrabbandiere, bastava vedere con quanta rabbia stava leccando la sua cartina.",['questo'],"['contrabbandiere', 'cartina']",[],[],['pensare'],[],['pensare'],[],1,2,0
512,Conqueror,"Il contrabbandiere mi giudicava male, lo sentivo.",['contrabbandiere'],['lo'],[],[],['giudicare'],[],[],['giudicare'],1,1,0
513,Conqueror,"Stavo limitandomi a un ’ accademia di pietà, non avrei mai imparato.",[],[],[],[],[],[],[],[],0,0,0
514,Conqueror,"Lui con due strilli s ’ era messo dalla loro parte, tutto era stato detto tra quelle persone, non va",[],"['confusione', 'li']","['lui', 'tutto']",[],[],"['mettere', 'dire']",[],[],0,4,2
515,Conqueror,"Il contrabbandiere non era spinto dalla vanità, non sapeva che farsene del « moretto ».",[],[],['contrabbandiere'],['vanità'],[],['spingere'],[],[],0,1,1
516,Conqueror,"Era un uomo semplice, aveva cominciato a guadagnarsi la vita da bimbo anche lui, voleva insegnare al",[],"['vita', 'lui', 'vita']",[],[],[],[],[],[],0,3,0
517,Conqueror,"Mangiava il suo pane e dormiva tra i sacchi di un magazzino, e nessuno gli diceva nulla, tanto si er",['nessuno'],"['pane', 'la']",[],[],['dire'],[],['dire'],[],1,2,0
518,Conqueror,"Ma i soldati, per ingannare la noia, misero in quel lavoro una cura insolita, volevano farne addirit",['soldato'],"['noia', 'cura', 'strada', 'svolta', 'freccia', 'li', 'conforto']",[],[],['mettere'],[],['mettere'],[],1,7,0
519,Conqueror,"Proveniva dalla forra e si avvicinava con aria d ’ intesa, voleva parlarmi, e doveva trattarsi di fa",[],[],[],[],[],[],[],[],0,0,0
520,Conqueror,"Trasse di tasca una zolla di terra e me la porse, senza dir nulla, ma scrutandomi in viso, forse pre",[],"['zolla', 'la', 'nulla', 'sorpresa']",[],[],[],[],[],[],0,4,0
521,Conqueror,"Nella sua ingenua immaginazione si vedeva già ricco, ma sapeva di formalità da superare prima di ess",[],['lo'],[],[],[],[],[],[],0,1,0
522,Conqueror,"La sua delusione fu di breve durata, credette ch ’ io scherzassi, o persino che volessi truffarlo","['delusione', 'io']",['lo'],[],[],['scherzare'],[],[],['scherzare'],2,1,0
523,Conqueror,L ’ oro era dello Stato.,['oro'],[],[],[],[],[],[],[],1,0,0
524,Conqueror,"Era, invece, del soldato che l ’ aveva trovato.",['che'],['lo'],[],[],['trovare'],[],['trovare'],[],1,1,0
525,Conqueror,Era di tutti.,[],[],[],[],[],[],[],[],0,0,0
526,Conqueror,Era di una compagnia di sfruttamento che avremmo fondata quotandoci un tanto a testa.,['che'],['tanto'],[],[],['fondare'],[],['fondare'],[],1,1,0
527,Conqueror,"E ora, avevo un segreto disegno, tentavo di distrarre l ’ attenzione altrui da quel tesoro, che inve",['che'],"['disegno', 'attenzione']",[],[],[],[],[],[],1,2,0
528,Conqueror,Volevo precedere tutti nelle pratiche dello sfruttamento ?,[],['tutto'],[],[],[],[],[],[],0,1,0
529,Conqueror,Il capitano però non rise; stimava certo inutile una risposta o di farmi soltanto capire che stavo e,['capitano'],['risposta'],[],[],['rise'],[],[],['rise'],1,1,0
530,Conqueror,Perché non avevo chiesto addirittura il congedo ?,[],['congedo'],[],[],[],[],[],[],0,1,0
531,Conqueror,"Aveva un volto giovanile, i soldati avrebbero ben presto profittato della sua arrendevolezza, accusa",['soldato'],"['volto', 'sorta']",[],[],['profittare'],[],[],['profittare'],1,2,0
532,Conqueror,"Ma dovevo tornare al campo, seguitare quella sciocca commedia, perché tutti sapevano ormai che non s",['tutto'],"['commedia', 'speranza']",[],[],['sapere'],[],[],['sapere'],1,2,0
533,Conqueror,"Mi aspettavano tutti, anche il generale, ch ’ era venuto attratto dalla voce che circolava già nei r","['tutto', 'generale', 'ch', 'che']",[],[],['voce'],"['aspettare', 'aspettare', 'venire', 'circolare']",[],[],"['aspettare', 'venire', 'circolare']",4,0,0
534,Conqueror,"Il generale stava prendendo sul serio la faccenda, e forse voleva partecipare al trionfo della scope",['generale'],['faccenda'],[],[],['prendere'],[],['prendere'],[],1,1,0
535,Conqueror,"Io avevo taciuto, appunto perché tutti cadessero nel tranello, io avevo scritto l ’ esposto, io avev","['io', 'tutto', 'io', 'io']","['esposto', 'generale', 'pagliuzza']",[],[],"['tacere', 'cadere', 'scrivere', 'consigliare']",[],"['scrivere', 'consigliare']","['tacere', 'cadere']",4,3,0
536,Conqueror,non sapendo come svagarsi in attesa della notte che lo porterà ormai alla casa delle due ragazze.,['che'],['lo'],[],[],['portare'],[],['portare'],[],1,1,0
537,Conqueror,"Era un uomo alto e grosso, felice di vivere, di stappare bottiglie e di aprire con un gesto largo la",[],"['bottiglia', 'scatola', 'mi', 'ottimismo']",[],[],[],[],[],[],0,4,0
538,Conqueror,"Era convinto che l ’ ammirassi, ed era vero.",[],[],[],[],[],[],[],[],0,0,0
539,Conqueror,"Odiava quella terra, odiava gli abitanti (eccetto Rahabat), odiava tutto.",[],"['terra', 'abitante', 'tutto']",[],[],[],[],[],[],0,3,0
540,Conqueror,"O, meglio, disprezzava tutto.",[],['tutto'],[],[],[],[],[],[],0,1,0
541,Conqueror,"Dovetti frenarmi per non raggiungerlo, per non raggiungere quell ’ uomo dal volto cordiale, anche se",['che'],"['lo', 'uomo']",[],['sottintesi'],['sfuggire'],[],[],['sfuggire'],1,2,0
542,Conqueror,"Il sottotenente guardò le mani, anch ’ io le guardavo, e mi si volse, con un sorriso che voleva cert","['sottotenente', 'io', 'che', 'lebbra']","['mano', 'le', 'turbamento']",[],[],"['guardare', 'guardare', 'mascherare', 'dire']",[],"['guardare', 'guardare', 'mascherare']",['dire'],4,3,0
543,Conqueror,"Due allegri soldati insegnavano a un bimbo ad andare in bicicletta, più per divertirsi loro che per ","['soldato', 'che']","['loro', 'qualcosa']",[],[],"['insegnare', 'insegnare']",[],['insegnare'],['insegnare'],2,2,0
544,Conqueror,Ma il sottotenente tardava a rispondere come se la conversazione gli riuscisse estremamente penosa.,"['sottotenente', 'conversazione']",[],[],[],"['tardare', 'riuscire']",[],[],"['tardare', 'riuscire']",2,0,0
545,Conqueror,"Evitava di guardarmi, o forse non poteva, perché eravamo seduti sullo stesso scalino e avrebbe dovut",[],"['mi', 'testa']",[],[],[],[],[],[],0,2,0
546,Conqueror,"Si parlava in quei giorni di un nuovo trasferimento e, fugata l ’ apprensione di una lunga permanenz",['ora'],"['apprensione', 'gioia']",[],[],['passare'],[],[],['passare'],1,2,0
547,Conqueror,Esse si presentavano così vivacemente alla loro immaginazione che dalle tende uscivano a tratti grid,"['esse', 'che', 'gridare']",[],[],[],"['presentare', 'uscire', 'uscire']",[],[],"['presentare', 'uscire']",3,0,0
